"country";"indicator";"year";"value"
"AFG";306;1980;13180,4
"AFG";306;1985;11529
"AFG";306;1990;11731,2
"AFG";306;1995;17586,1
"AFG";306;2000;20595,4
"AFG";306;2005;24860,9
"AFG";306;2006;25631,3
"AFG";306;2007;26349,2
"AFG";306;2009;27708,2
"AFG";306;2010;28397,8
"AFG";306;2011;29105,5
"AFG";306;2012;29824,5
"AFG";306;2013;30551,7
"AGO";306;1980;7637,1
"AGO";306;1985;9063,6
"AGO";306;1990;10333,8
"AGO";306;1995;12105
"AGO";306;2000;13924,9
"AGO";306;2005;16544,4
"AGO";306;2006;17122,4
"AGO";306;2007;17712,8
"AGO";306;2009;18926,7
"AGO";306;2010;19549,1
"AGO";306;2011;20180,5
"AGO";306;2012;20820,5
"AGO";306;2013;21471,6
"ALB";306;1980;2734,8
"ALB";306;1985;3077,9
"ALB";306;1990;3446,9
"ALB";306;1995;3357,9
"ALB";306;2000;3304,9
"ALB";306;2005;3196,1
"ALB";306;2006;3179,6
"ALB";306;2007;3166,2
"ALB";306;2009;3151,2
"ALB";306;2010;3150,1
"ALB";306;2011;3153,9
"ALB";306;2012;3162,1
"ALB";306;2013;3173,3
"AND";306;1980;36,1
"AND";306;1985;44,6
"AND";306;1990;54,5
"AND";306;1995;63,9
"AND";306;2000;65,4
"AND";306;2005;81,2
"AND";306;2006;81,9
"AND";306;2007;81,3
"AND";306;2009;78,7
"AND";306;2010;77,9
"AND";306;2011;77,9
"AND";306;2012;78,4
"AND";306;2013;79,2
"ARE";306;1980;1014,8
"ARE";306;1985;1347,2
"ARE";306;1990;1806,5
"ARE";306;1995;2346,3
"ARE";306;2000;3026,4
"ARE";306;2005;4148,9
"ARE";306;2006;4875,6
"ARE";306;2007;5797,3
"ARE";306;2009;7718,3
"ARE";306;2010;8441,5
"ARE";306;2011;8925,1
"ARE";306;2012;9205,7
"ARE";306;2013;9346,1
"ARG";306;1980;28120,1
"ARG";306;1985;30340,4
"ARG";306;1990;32624,9
"ARG";306;1995;34833,2
"ARG";306;2000;36903,1
"ARG";306;2005;38647,9
"ARG";306;2006;38988,9
"ARG";306;2007;39331,4
"ARG";306;2009;40023,6
"ARG";306;2010;40374,2
"ARG";306;2011;40728,7
"ARG";306;2012;41086,9
"ARG";306;2013;41446,2
"ARM";306;1980;3096,3
"ARM";306;1985;3339,1
"ARM";306;1990;3544,7
"ARM";306;1995;3223,2
"ARM";306;2000;3076,1
"ARM";306;2005;3014,9
"ARM";306;2006;3002,9
"ARM";306;2007;2989,9
"ARM";306;2009;2968,2
"ARM";306;2010;2963,5
"ARM";306;2011;2964,1
"ARM";306;2012;2969,1
"ARM";306;2013;2976,6
"ATG";306;1980;70,3
"ATG";306;1985;65,7
"ATG";306;1990;61,9
"ATG";306;1995;68,3
"ATG";306;2000;77,6
"ATG";306;2005;82,6
"ATG";306;2006;83,5
"ATG";306;2007;84,4
"ATG";306;2009;86,3
"ATG";306;2010;87,2
"ATG";306;2011;88,2
"ATG";306;2012;89,1
"ATG";306;2013;90
"AUS";306;1980;14708,3
"AUS";306;1985;15791
"AUS";306;1990;17096,9
"AUS";306;1995;18124,2
"AUS";306;2000;19259,4
"AUS";306;2005;20520,7
"AUS";306;2006;20865,6
"AUS";306;2007;21246,3
"AUS";306;2009;22037,1
"AUS";306;2010;22404,5
"AUS";306;2011;22740,5
"AUS";306;2012;23050,5
"AUS";306;2013;23342,6
"AUT";306;1980;7555,2
"AUT";306;1985;7575,9
"AUT";306;1990;7670
"AUT";306;1995;7985,4
"AUT";306;2000;8020,3
"AUT";306;2005;8238,6
"AUT";306;2006;8277,4
"AUT";306;2007;8311,5
